ID_Nac;X;Y
CSp-NIV_C1-98-0050;-79,775;-1,372
CSp-NVI_E1-92-0042;-79,772;-3,701
CSp-NVI_E3-100-0059;-79,771;-3,853
CSp-NVI_A3-84-0022;-79,769;-3,229
CSp-NVI_E1-100-0052;-79,769;-3,766
CSp-NVI_E1-92-0043;-79,768;-3,703
CSp-NVI_E3-100-0070;-79,768;-3,876
CSp-NVI_E3-100-0071;-79,767;-3,874
CSp-NIV_E3-96-0058;-79,768;-1,842
CSp-NVI_A1-92-0021;-79,767;-3,161
CSp-NVI_A3-84-0023;-79,766;-3,235
CSp-NVI_A1-94-0014;-79,765;-3,086
CSp-NIV_E1-96-0059;-79,766;-1,814
CSp-NVI_E1-92-0044;-79,764;-3,708
CSp-NVI_C3-83-0059;-79,764;-3,652
CSp-NVI_C1-95-0029;-79,764;-3,351
CSp-NVI_A3-92-0025;-79,764;-3,286
CSp-NVI_C1-100-0032;-79,763;-3,47
CSp-NIV_C1-98-0051;-79,765;-1,378
CSp-NVI_A1-92-0018;-79,763;-3,101
CSp-NVI_A1-92-0020;-79,763;-3,157
CSp-NVI_C3-83-0058;-79,762;-3,586
CSp-NVI_C1-83-0022;-79,761;-3,381
CSp-NVI_A3-83-0030;-79,761;-3,258
CSp-NIV_C1-98-0052;-79,763;-1,396
CSp-NVI_A3-100-0024;-79,761;-3,175
CSp-NVI_C1-100-0031;-79,761;-3,468
CSp-NVI_C1-84-0029;-79,761;-3,362
CSp-NVI_A1-92-0019;-79,761;-3,157
CSp-NVI_A3-95-0032;-79,76;-3,329
CSp-NVI_A3-92-0029;-79,76;-3,316
CSp-NVI_E3-84-0053;-79,759;-3,838
CSp-NVI_C1-83-0021;-79,759;-3,384
CSp-NVI_A3-94-0022;-79,76;-3,21
CSp-NVI_A3-95-0031;-79,758;-3,326
CSp-NVI_A3-92-0026;-79,758;-3,289
CSp-NVI_A3-94-0021;-79,758;-3,203
CSp-NVI_A3-83-0029;-79,758;-3,249
CSp-NVI_C1-83-0023;-79,757;-3,39
CSp-NVI_A3-94-0020;-79,757;-3,206
CSp-NVI_E1-92-0045;-79,756;-3,693
CSp-NVI_C3-94-0048;-79,756;-3,664
CSp-NVI_C1-83-0019;-79,756;-3,389
CSp-NVI_C1-100-0030;-79,756;-3,467
CSp-NVI_A3-92-0030;-79,756;-3,322
CSp-NVI_A1-95-0019;-79,756;-3,141
CSp-NIV_C1-86-0052;-79,756;-3,297
CSp-NVI_A3-92-0027;-79,757;-1,455
CSp-NVI_A3-100-0023;-79,756;-3,181
CSp-NVI_A3-92-0028;-79,755;-3,303
CSp-NVI_A1-94-0018;-79,755;-3,122
CSp-NIV_C1-86-0051;-79,756;-1,441
CSp-NVI_C1-83-0020;-79,754;-3,38
CSp-NVI_A3-100-0022;-79,754;-3,183
CSp-NVI_E1-83-0069;-79,753;-3,825
CSp-NVI_C1-83-0018;-79,753;-3,395
CSp-NVI_E1-83-0070;-79,752;-3,822
CSp-NVI_A1-94-0017;-79,753;-3,12
CSp-NVI_C3-94-0049;-79,752;-3,657
CSp-NVI_E1-83-0071;-79,751;-3,817
CSp-NVI_A3-94-0019;-79,751;-3,196
CSp-NVI_E4-84-0052;-79,745;-3,839
CSp-NIV_E2-86-0054;-79,747;-1,713
CSp-NIV_E2-86-0050;-79,747;-1,705
CSp-NIV_E2-98-0054;-79,746;-1,722
CSp-NIV_C2-96-0038;-79,745;-1,473
CSp-NVI_E2-92-0046;-79,743;-3,692
CSp-NIV_E2-98-0055;-79,745;-1,721
CSp-NIV_C2-96-0039;-79,745;-1,474
CSp-NIV_C2-98-0043;-79,745;-1,438
CSp-NIV_C2-99-0053;-79,745;-1,335
CSp-NVI_A4-83-0037;-79,742;-3,327
CSp-NIV_A4-99-0054;-79,743;-1,333
CSp-NVI_A2-100-0020;-79,741;-3,048
CSp-NVI_C4-83-0057;-79,74;-3,605
CSp-NVI_A4-83-0036;-79,741;-3,325
CSp-NVI_C2-100-0029;-79,74;-3,466
CSp-NIV_C2-99-0045;-79,742;-1,4
CSp-NIV_C2-86-0035;-79,741;-1,423
CSp-NVI_E2-83-0072;-79,739;-3,8
CSp-NVI_A2-95-0017;-79,74;-3,144
CSp-NVI_A4-83-0028;-79,739;-3,247
CSp-NIV_C2-98-0042;-79,741;-1,452
CSp-NVI_C2-100-0028;-79,739;-3,466
CSp-NVI_C4-95-0051;-79,738;-3,662
CSp-NIV_C2-98-0036;-79,74;-1,465
CSp-NVI_E4-100-0069;-79,737;-3,889
CSp-NIV_C2-99-0056;-79,74;-1,412
CSp-NVI_C2-87-0066;-79,738;-3,355
CSp-NVI_E2-84-0061;-79,737;-3,714
CSp-NVI_E4-100-0068;-79,737;-3,903
CSp-NVI_E4-100-0067;-79,736;-3,91
CSp-NIV_C2-98-0035;-79,739;-1,472
