ID_Nac;Hor;Hmor;Mor_Pp;Mor_suf;Mor_ sec;Lim_sup;Lim_inf;CO;pH_H2O;PH;CE_dS/m
CSp-NII_F3-97-0008;1;Ap;A;p;1;0;15;2,947;5,85;0,0585;0,08
CSp-NII_F3-97-0008;2;Bw1;B;w;1;15;50;1,652;6,2;0,062;0,03
CSp-NII_F3-97-0008;3;Bw2;B;w;1;50;70;0;0;0;0
CSp-NII_F3-97-0008;4;Bw3;B;w;1;70;90;0;0;0;0
CSp-NII_F3-97-0008;5;Bw4;B;w;1;90;105;0;0;0;0
CSp-NII_F3-97-0008;6;Ab;A;b;1;105;125;0;0;0;0
CSp-NII_F3-97-0008;7;2Bw1;B;w;2;125;140;0;0;0;0
CSp-NII_F3-97-0010;1;Ap;A;p;1;0;5;0;0;0;0
CSp-NII_F3-97-0010;2;Bw;B;w;1;5;20;1,115;6,18;0,0618;0,03
CSp-NII_F3-97-0010;3;C1;C;;1;20;55;1,115;6,61;0,0661;0,01
CSp-NII_F3-97-0010;4;C2;C;;1;55;75;0,558;6,66;0,0666;0,01
CSp-NII_F3-97-0010;5;C3;C;;1;75;145;0;0;0;0
CSp-NII_F3-97-0011;1;Oi;O;i;1;0;5;0;0;0;0
CSp-NII_F3-97-0011;2;A;A;;1;5;25;4,522;6,26;0,0626;0,12
CSp-NII_F3-97-0011;3;Bw;B;w;1;25;75;1,223;6,57;0,0657;0,05
CSp-NII_F3-97-0011;4;Cr;C;r;1;75;140;0;0;0;0
CSp-NIII_A2-89-0004;1;Ap;A;p;1;0;22;1,523;6,14;0,0614;0,06
CSp-NIII_A2-89-0004;2;Bw1;B;w;1;22;47;0,794;6,69;0,0669;0,04
CSp-NIII_A2-89-0004;3;Bw2;B;w;1;47;96;0,729;6,91;0,0691;0,03
CSp-NIII_A2-89-0004;4;2Bw3;B;w;2;96;140;0;0;0;0
CSp-NIII_A2-89-0005;1;Ap;A;p;1;0;22;1,416;6,08;0,0608;0,07
CSp-NIII_A2-89-0005;2;Bw1;B;w;1;22;42;0,558;6,61;0,0661;0,03
CSp-NIII_A2-89-0005;3;Bw2;B;w;1;42;76;0,45;6,69;0,0669;0,02
CSp-NIII_A2-89-0005;4;Bw3;B;w;1;76;115;0;0;0;0
CSp-NIII_A2-89-0005;5;Bw4;B;w;1;115;150;0,472;6,16;0,0616;0,01
CSp-NIII_A2-89-0006;1;Ap;A;p;1;0;25;1,716;5,82;0,0582;0,07
CSp-NIII_A2-89-0006;2;A1;A;;1;25;51;1,158;6,13;0,0613;0,04
CSp-NIII_A2-89-0006;3;A2;A;;1;51;96;0;0;0;0
CSp-NIII_A2-89-0006;4;Bw1;B;w;1;96;127;0;0;0;0
CSp-NIII_A2-89-0006;5;2Bw2;B;w;2;127;150;0;0;0;0
CSp-NIII_A2-89-0007;1;Ap;A;p;1;0;25;3,531;5,84;0,0584;0,15
CSp-NIII_A2-89-0007;2;A;A;;1;25;46;0,944;6,31;0,0631;0,03
CSp-NIII_A2-89-0007;3;Bw1;B;w;1;46;75;1,244;6,23;0,0623;0,04
CSp-NIII_A2-89-0007;4;Bw2;B;w;1;75;99;0;0;0;0
CSp-NIII_A2-89-0007;5;2Bw3;B;w;2;99;150;0;0;0;0
CSp-NIII_B1-83-0028;1;Ap;A;p;1;0;50;2,255;6,56;0,0656;0,07
CSp-NIII_B1-83-0028;2;A1;A;;1;50;90;1,583;6,38;0,0638;0,03
CSp-NIII_B1-83-0028;3;A2;A;;1;90;110;0;0;0;0
CSp-NIII_B1-83-0028;4;Bw;B;w;1;110;160;0;0;0;0
CSp-NIII_B1-83-0029;1;Ap;A;p;1;0;15;2,277;5,11;0,0511;0,1
CSp-NIII_B1-83-0029;2;2C1;C;;2;15;70;0;0;0;0
CSp-NIII_B1-83-0029;3;2C2;C;;2;70;90;0;0;0;0
CSp-NIII_B1-83-0030;1;Ap;A;p;1;0;55;1,821;5,58;0,0558;0,04
CSp-NIII_B1-83-0030;2;A;A;;1;55;120;1,388;6,17;0,0617;0,01
CSp-NIII_B1-83-0030;3;C;C;;1;120;150;0;0;0;0
CSp-NIII_B1-83-0031;1;Ap;A;p;1;0;10;2,988;5,75;0,0575;0,07
CSp-NIII_B1-83-0031;2;A1;A;;1;10;60;1,474;6,27;0,0627;0,04
CSp-NIII_B1-83-0031;3;A2;A;;1;60;90;0;0;0;0
CSp-NIII_B1-83-0031;4;Bw;B;w;1;90;120;0;0;0;0
CSp-NIII_B1-83-0031;5;Ab;A;b;1;120;150;0;0;0;0
CSp-NIII_B1-83-0033;1;Ap;A;p;1;0;15;1,865;5,9;0,059;0,07
CSp-NIII_B1-83-0033;2;2C;C;;2;15;90;0;0;0;0
CSp-NIII_B1-83-0033;3;3C;C;;3;90;130;0;0;0;0
CSp-NIII_B1-83-0034;1;Ap;A;p;1;0;15;3,699;5,83;0,0583;0,1
CSp-NIII_B1-83-0034;2;Bw;B;w;1;15;50;1,604;6,24;0,0624;0,03
CSp-NIII_B1-83-0034;3;2C;C;;2;50;130;0;0;0;0
CSp-NIII_B1-83-0034;4;Ab;A;b;1;130;150;0;0;0;0
CSp-NIII_B1-83-0035;1;Ap;A;p;1;0;15;5,056;6,31;0,0631;0,15
CSp-NIII_B1-83-0035;2;A;A;;1;15;80;2,277;5,77;0,0577;0,08
CSp-NIII_B1-83-0035;3;Bw;B;w;1;80;160;0;0;0;0
CSp-NIII_B1-97-0007;1;Ap;A;p;1;0;40;1,266;6,44;0,0644;0,03
CSp-NIII_B1-97-0007;2;Bw1;B;w;1;40;65;1,008;6,5;0,065;0,01
CSp-NIII_B1-97-0007;3;Bw2;B;w;1;65;95;0;0;0;0
CSp-NIII_B1-97-0007;4;Ab;A;b;1;95;105;1,266;6,65;0,0665;0,02
CSp-NIII_B1-97-0007;5;2Bw1;B;w;2;105;135;0;0;0;0
CSp-NIII_B1-97-0007;6;2Bw2;B;w;2;135;160;0;0;0;0
CSp-NIII_B2-83-0065;1;Ap;A;p;1;0;10;2,574;6,09;0,0609;0,01
CSp-NIII_B2-83-0065;2;Bw1;B;w;1;10;20;4,446;5,7;0,057;0,05
CSp-NIII_B2-83-0065;3;Bw2;B;w;1;20;85;0;0;0;0
CSp-NIII_B2-83-0065;4;Ab;A;b;1;85;150;0;0;0;0
CSp-NIII_B2-83-0066;1;Ap;A;p;1;0;15;4,575;5,87;0,0587;0,09
CSp-NIII_B2-83-0066;2;Bw1;B;w;1;15;60;2,413;5,92;0,0592;0,03
CSp-NIII_B2-83-0066;3;Bw2;B;w;1;60;70;0;0;0;0
CSp-NIII_B2-83-0066;4;Ab;A;b;1;70;150;0;0;0;0
CSp-NIII_B2-84-0023;1;Ap;A;p;1;0;15;1,512;5,57;0,0557;0,07
CSp-NIII_B2-84-0023;2;Bw1;B;w;1;15;25;2,252;6,09;0,0609;0,03
CSp-NIII_B2-84-0023;3;Bw2;B;w;1;25;55;1,898;5,99;0,0599;0,03
CSp-NIII_B2-84-0023;4;Bw3;B;w;1;55;85;0;0;0;0
CSp-NIII_B2-84-0023;5;Bw4;B;w;1;85;140;0;0;0;0
CSp-NIII_B2-84-0038;1;Ap;A;p;1;0;14;4,993;5,96;0,0596;0,11
CSp-NIII_B2-84-0038;2;Bw1;B;w;1;14;55;2,413;6,16;0,0616;0,05
CSp-NIII_B2-84-0038;3;Bw2;B;w;1;55;70;0;0;0;0
CSp-NIII_B2-84-0038;4;BC;B;C;1;70;100;0;0;0;0
CSp-NIII_B2-84-0038;5;Ab;A;b;1;100;120;0;0;0;0
CSp-NIII_B2-84-0038;6;2C;C;;2;120;150;0;0;0;0
CSp-NIII_B2-84-0039;1;Ap;A;p;1;0;15;4,833;5,82;0,0582;0,1
CSp-NIII_B2-84-0039;2;Bw1;B;w;1;15;55;2,252;6,09;0,0609;0,02
CSp-NIII_B2-84-0039;3;Bw2;B;w;1;55;85;0;0;0;0
CSp-NIII_B2-84-0039;4;C;C;;1;85;115;0;0;0;0
CSp-NIII_B2-84-0039;5;2Bw;B;w;2;115;140;0;0;0;0
CSp-NIII_B2-89-0039;1;Ap;A;p;1;0;34;2,284;5,69;0,0569;0,03
CSp-NIII_B2-89-0039;2;Bw;B;w;1;34;52;2,445;5,76;0,0576;0,02
CSp-NIII_B2-89-0039;3;Ab;A;b;1;52;57;0;0;0;0
CSp-NIII_B2-89-0039;4;2Bw1;B;w;2;57;86;0;0;0;0
CSp-NIII_B2-89-0039;5;2Bw2;B;w;2;86;150;0;0;0;0
CSp-NIII_B2-89-0040;1;Ap;A;p;1;0;16;5,83;5,57;0,0557;0,1
CSp-NIII_B2-89-0040;2;Bw;B;w;1;16;55;2,317;5,74;0,0574;0,03
CSp-NIII_B2-89-0040;3;Bg;B;g;1;55;105;0,965;7,2;0,072;0,02
CSp-NIII_B2-97-0048;1;Ap;A;p;1;0;15;4,865;6,89;0,0689;0,09
CSp-NIII_B2-97-0048;2;C;C;;1;15;20;1,351;7,02;0,0702;0,03
CSp-NIII_B2-97-0048;3;2Bw;B;w;2;20;35;1,351;6,05;0,0605;0,02
CSp-NIII_B2-97-0048;4;2BC;B;C;2;35;80;0;0;0;0
CSp-NIII_B2-97-0049;1;A;A;;1;0;5;3,616;5,67;0,0567;0,09
CSp-NIII_B2-97-0049;2;Bw1;B;w;1;5;80;1,77;5,93;0,0593;0,02
CSp-NIII_B2-97-0049;3;Bw2;B;w;1;80;90;0;0;0;0
CSp-NIII_B2-97-0049;4;Bw3;B;w;1;90;105;0;0;0;0
CSp-NIII_B2-97-0049;5;Ab;A;b;1;105;125;0;0;0;0
CSp-NIII_B2-97-0049;6;2C;C;;2;125;135;0;0;0;0
CSp-NIII_B3-83-0080;1;Ap;A;p;1;0;15;4,107;5,69;0,0569;0,09
CSp-NIII_B3-83-0080;2;Bw1;B;w;1;15;65;2,446;6,03;0,0603;0,04
CSp-NIII_B3-83-0080;3;Bw2;B;w;1;65;130;0;0;0;0
CSp-NIII_B3-83-0080;4;Bw3;B;w;1;130;150;0;0;0;0
CSp-NIII_B3-83-0081;1;Ap;A;p;1;0;20;4,434;5,55;0,0555;0,09
CSp-NIII_B3-83-0081;2;Bw1;B;w;1;20;75;1,635;6,07;0,0607;0,02
CSp-NIII_B3-83-0081;3;Bw2;B;w;1;75;130;0;0;0;0
CSp-NIII_B3-83-0081;4;Bw3;B;w;1;130;150;0;0;0;0
CSp-NIII_B3-97-0002;1;Ap;A;p;1;0;18;2,969;5,88;0,0588;0,07
CSp-NIII_B3-97-0002;2;Bw1;B;w;1;18;60;1,308;6,09;0,0609;0,02
CSp-NIII_B3-97-0002;3;Bw2;B;w;1;60;85;0;0;0;0
CSp-NIII_B3-97-0002;4;Bw3;B;w;1;85;100;0;0;0;0
CSp-NIII_B3-97-0002;5;Bw4;B;w;1;100;140;0;0;0;0
CSp-NIII_B3-97-0061;1;A;A;;1;0;25;5,285;5,4;0,054;0,2
CSp-NIII_B3-97-0061;2;Bw1;B;w;1;25;47;1,962;6,1;0,061;0,03
CSp-NIII_B3-97-0061;3;Bw2;B;w;1;47;80;0;0;0;0
CSp-NIII_B3-97-0061;4;Bw3;B;w;1;80;100;0;0;0;0
CSp-NIII_B3-97-0061;5;Bw4;B;w;1;100;130;0;0;0;0
CSp-NIII_B3-97-0061;6;Bw5;B;w;1;130;145;0;0;0;0
CSp-NIII_B3-98-0055;1;Ap;A;p;1;0;15;4,173;6,03;0,0603;0,18
CSp-NIII_B3-98-0055;2;Bw1;B;w;1;15;40;2,413;5,76;0,0576;0,05
CSp-NIII_B3-98-0055;3;Bw2;B;w;1;40;85;1,439;6,28;0,0628;0,06
CSp-NIII_B3-98-0055;4;Bw3;B;w;1;85;120;0;0;0;0
CSp-NIII_B3-98-0055;5;2Ab;A;b;2;120;145;0;0;0;0
CSp-NIII_B3-98-0056;1;Ap;A;p;1;0;15;3,813;6,42;0,0642;0,15
CSp-NIII_B3-98-0056;2;Bw1;B;w;1;15;50;2,184;6,2;0,062;0,05
CSp-NIII_B3-98-0056;3;Bw2;B;w;1;50;70;0;0;0;0
CSp-NIII_B3-98-0056;4;Bw3;B;w;1;70;90;0;0;0;0
CSp-NIII_B3-98-0056;5;Bw4;B;w;1;90;115;0;0;0;0
CSp-NIII_B3-98-0056;6;2Ab;A;b;2;115;120;0;0;0;0
CSp-NIII_B3-98-0056;7;2Bw1;B;w;2;120;153;0;0;0;0
CSp-NIII_B4-83-0039;1;Ap;A;p;1;0;20;3,504;6,4;0,064;0,13
CSp-NIII_B4-83-0039;2;Bw1;B;w;1;20;80;1,561;6,77;0,0677;0,04
CSp-NIII_B4-83-0039;3;Bw2;B;w;1;80;150;0;0;0;0
CSp-NIII_B4-83-0040;1;A;A;;1;0;15;3,742;6,01;0,0601;0,11
CSp-NIII_B4-83-0040;2;Bw1;B;w;1;15;90;1,409;6,09;0,0609;0,02
CSp-NIII_B4-83-0040;3;Bw2;B;w;1;90;160;0;0;0;0
CSp-NIII_B4-83-0041;1;Ap;A;p;1;0;20;3,933;6,04;0,0604;0,11
CSp-NIII_B4-83-0041;2;Bw1;B;w;1;20;90;1,171;6,11;0,0611;0,02
CSp-NIII_B4-83-0041;3;Bw2;B;w;1;90;150;0;0;0;0
CSp-NIII_B4-83-0057;1;Ap;A;p;1;0;15;2,381;5,93;0,0593;0,03
CSp-NIII_B4-83-0057;2;Bw1;B;w;1;15;50;1,93;6,21;0,0621;0,02
CSp-NIII_B4-83-0057;3;Bw2;B;w;1;50;90;0;0;0;0
CSp-NIII_B4-83-0057;4;Bw3;B;w;1;90;145;0;0;0;0
CSp-NIII_B4-83-0058;1;Ap;A;p;1;0;16;4,833;5,83;0,0583;0,07
CSp-NIII_B4-83-0058;2;Bw1;B;w;1;16;45;1,609;6,32;0,0632;0,02
CSp-NIII_B4-83-0058;3;Bw2;B;w;1;45;60;1,223;6,16;0,0616;0,02
CSp-NIII_B4-83-0058;4;Bw3;B;w;1;60;145;0;0;0;0
CSp-NIII_B4-83-0059;1;Ap;A;p;1;0;15;5,026;5,7;0,057;0,12
CSp-NIII_B4-83-0059;2;Bw1;B;w;1;15;90;1,834;6,02;0,0602;0,02
CSp-NIII_B4-83-0059;3;Bw2;B;w;1;90;150;0;0;0;0
CSp-NIII_B4-83-0060;1;Ap;A;p;1;0;20;4,833;5,98;0,0598;0,1
CSp-NIII_B4-83-0060;2;Bw1;B;w;1;20;80;1,705;6,08;0,0608;0,03
CSp-NIII_B4-83-0060;3;Bw2;B;w;1;80;150;0;0;0;0
CSp-NIII_B4-83-0061;1;A;A;;1;0;20;4,607;5,96;0,0596;0,08
CSp-NIII_B4-83-0061;2;Bw1;B;w;1;20;90;2,445;6,32;0,0632;0,02
CSp-NIII_B4-83-0061;3;Bw2;B;w;1;90;150;0;0;0;0
CSp-NIII_B4-83-0062;1;Ap;A;p;1;0;30;4,189;6,03;0,0603;0,09
CSp-NIII_B4-83-0062;2;Bw;B;w;1;30;80;1,963;6,39;0,0639;0,02
CSp-NIII_B4-83-0062;3;Ab;A;b;1;80;150;0;0;0;0
CSp-NIII_B4-83-0063;1;Ap;A;p;1;0;25;4,253;6,21;0,0621;0,1
CSp-NIII_B4-83-0063;2;Bw1;B;w;1;25;55;2,542;6,36;0,0636;0,07
CSp-NIII_B4-83-0063;3;Ab;A;b;1;55;120;0;0;0;0
CSp-NIII_B4-83-0063;4;2Bw2;B;w;2;120;150;0;0;0;0
CSp-NIII_B4-83-0064;1;Ap;A;p;1;0;50;2,445;5,74;0,0574;0,08
CSp-NIII_B4-83-0064;2;Bw1;B;w;1;50;80;1,93;6,67;0,0667;0,04
CSp-NIII_B4-83-0064;3;2Ab;A;b;2;80;130;0;0;0;0
CSp-NIII_B4-83-0064;4;2Bw2;B;w;2;130;150;0;0;0;0
CSp-NIII_B4-83-0071;1;Ap;A;p;1;0;15;5,35;5,85;0,0585;0,14
CSp-NIII_B4-83-0071;2;Bw1;B;w;1;15;35;1,897;6,26;0,0626;0,02
CSp-NIII_B4-83-0071;3;Bw2;B;w;1;35;120;1,341;6,29;0,0629;0,02
CSp-NIII_B4-83-0071;4;Ab;A;b;1;120;150;0;0;0;0
CSp-NIII_B4-83-0072;1;Ap;A;p;1;0;18;2,191;6,39;0,0639;0,08
CSp-NIII_B4-83-0072;2;Bw1;B;w;1;18;60;1,079;6,49;0,0649;0,04
CSp-NIII_B4-83-0072;3;Bw2;B;w;1;60;85;0;0;0;0
CSp-NIII_B4-83-0072;4;Ab;A;b;1;85;130;0;0;0;0
CSp-NIII_B4-83-0072;5;2Bw3;B;w;2;130;150;0;0;0;0
CSp-NIII_B4-83-0073;1;Ap;A;p;1;0;10;3,911;6,42;0,0642;0,13
CSp-NIII_B4-83-0073;2;Bw1;B;w;1;10;85;1,21;6,51;0,0651;0,04
CSp-NIII_B4-83-0073;3;Bw2;B;w;1;85;130;0;0;0;0
CSp-NIII_B4-83-0073;4;Ab;A;b;1;130;150;0;0;0;0
CSp-NIII_B4-83-0074;1;Ap;A;p;1;0;55;1,177;6,6;0,066;0,06
CSp-NIII_B4-83-0074;2;2Ab;A;b;2;55;110;0,85;6,76;0,0676;0,05
CSp-NIII_B4-83-0074;3;2Bw;B;w;2;110;150;0;0;0;0
CSp-NIII_B4-83-0078;1;Ap;A;p;1;0;20;3,78;5,68;0,0568;0,45
CSp-NIII_B4-83-0078;2;Bw1;B;w;1;20;55;1,243;5,95;0,0595;0,03
CSp-NIII_B4-83-0078;3;Bw2;B;w;1;55;130;0;0;0;0
CSp-NIII_B4-83-0078;4;Bw3;B;w;1;130;150;0;0;0;0
CSp-NIII_B4-83-0079;1;Ap;A;p;1;0;15;4,827;6,01;0,0601;0,22
CSp-NIII_B4-83-0079;2;Bw1;B;w;1;15;90;1,668;5,77;0,0577;0,04
CSp-NIII_B4-83-0079;3;Bw2;B;w;1;90;150;0;0;0;0
CSp-NIII_B4-84-0001;1;Ap;A;p;1;0;8;6,357;5,73;0,0573;0,23
CSp-NIII_B4-84-0001;2;A;A;;1;8;34;5,512;5,61;0,0561;0,18
CSp-NIII_B4-84-0001;3;Bw1;B;w;1;34;92;0;0;0;0
CSp-NIII_B4-84-0001;4;Bw2;B;w;1;92;130;0;0;0;0
CSp-NIII_B4-84-0001;5;Bw3;B;w;1;130;170;0;0;0;0
CSp-NIII_B4-84-0002;1;Ap;A;p;1;0;12;4,042;5,79;0,0579;0,09
CSp-NIII_B4-84-0002;2;A;A;;1;12;28;2,559;5,99;0,0599;0,07
CSp-NIII_B4-84-0002;3;Bw1;B;w;1;28;64;0;0;0;0
CSp-NIII_B4-84-0002;4;Bw2;B;w;1;64;110;0;0;0;0
CSp-NIII_B4-84-0002;5;Bw3;B;w;1;110;165;0;0;0;0
CSp-NIII_B4-84-0002;6;C;C;;1;165;200;0;0;0;0
CSp-NIII_B4-84-0003;1;Ap;A;p;1;0;18;4,471;6,3;0,063;0,18
CSp-NIII_B4-84-0003;2;Bw1;B;w;1;18;38;1,865;6,08;0,0608;0,04
CSp-NIII_B4-84-0003;3;Bw2;B;w;1;38;82;0;0;0;0
CSp-NIII_B4-84-0003;4;Bw3;B;w;1;82;110;0;0;0;0
CSp-NIII_B4-84-0003;5;Bw4;B;w;1;110;128;0;0;0;0
CSp-NIII_B4-84-0003;6;2Ab;A;b;2;128;160;0;0;0;0
CSp-NIII_B4-84-0004;1;A;A;;1;0;38;2,277;5,66;0,0566;0,17
CSp-NIII_B4-84-0004;2;AB;A;b;1;38;55;2,038;5,63;0,0563;0,1
CSp-NIII_B4-84-0004;3;2Bw;B;w;2;55;95;0;0;0;0
CSp-NIII_B4-84-0004;4;2C;C;;2;95;140;0;0;0;0
CSp-NIII_B4-84-0005;1;Ap;A;p;1;0;16;4,991;4,2;0,042;0,44
CSp-NIII_B4-84-0005;2;A;A;;1;16;38;1,821;4,46;0,0446;0,15
CSp-NIII_B4-84-0005;3;C;C;;1;38;90;0;0;0;0
CSp-NIII_B4-84-0006;1;Ap;A;p;1;0;12;2,515;4,73;0,0473;0,1
CSp-NIII_B4-84-0006;2;A;A;;1;12;42;1,072;5,4;0,054;0,04
CSp-NIII_B4-84-0006;3;Bw1;B;w;1;42;65;0;0;0;0
CSp-NIII_B4-84-0006;4;Bw2;B;w;1;65;92;0;0;0;0
CSp-NIII_B4-84-0006;5;C;C;;1;92;138;0;0;0;0
CSp-NIII_B4-84-0006;6;Ab;A;b;1;138;160;0;0;0;0
CSp-NIII_B4-84-0007;1;Ap;A;p;1;0;14;3,917;5,99;0,0599;0,12
CSp-NIII_B4-84-0007;2;Bw1;B;w;1;14;45;1,223;6,21;0,0621;0,03
CSp-NIII_B4-84-0007;3;Bw2;B;w;1;45;75;0;0;0;0
CSp-NIII_B4-84-0007;4;C;C;;1;75;120;0;0;0;0
CSp-NIII_B4-84-0007;5;Ab;A;b;1;120;140;0;0;0;0
CSp-NIII_B4-84-0007;6;2Bw;B;w;2;140;150;0;0;0;0
CSp-NIII_B4-84-0008;1;Ap;A;p;1;0;16;4,253;5,59;0,0559;0,09
CSp-NIII_B4-84-0008;2;Bw1;B;w;1;16;50;1,963;5,95;0,0595;0,03
CSp-NIII_B4-84-0008;3;Bw2;B;w;1;50;85;0;0;0;0
CSp-NIII_B4-84-0008;4;Bw3;B;w;1;85;115;0;0;0;0
CSp-NIII_B4-84-0008;5;Ab;A;b;1;115;150;0;0;0;0
CSp-NIII_B4-84-0048;1;Ap;A;p;1;0;20;4,467;5,65;0,0565;0,12
CSp-NIII_B4-84-0048;2;A;A;;1;20;55;2,74;6,13;0,0613;0,05
CSp-NIII_B4-84-0048;3;Bw1;B;w;1;55;95;0;0;0;0
CSp-NIII_B4-84-0048;4;Bw2;B;w;1;95;120;0;0;0;0
CSp-NIII_B4-84-0048;5;2Ab;A;b;2;120;140;0;0;0;0
CSp-NIII_B4-84-0049;1;Ap;A;p;1;0;15;2,61;5,83;0,0583;0,09
CSp-NIII_B4-84-0049;2;A;A;;1;15;50;1,21;5,66;0,0566;0,03
CSp-NIII_B4-84-0049;3;Bw1;B;w;1;50;80;0;0;0;0
CSp-NIII_B4-84-0049;4;Bw2;B;w;1;80;115;0;0;0;0
CSp-NIII_B4-84-0049;5;BC;B;C;1;115;135;0;0;0;0
CSp-NIII_B4-84-0049;6;2Ab;A;b;2;135;150;0;0;0;0
CSp-NIII_B4-84-0050;1;Ap;A;p;1;0;20;4,107;5,93;0,0593;0,08
CSp-NIII_B4-84-0050;2;A;A;;1;20;35;1,57;5,85;0,0585;0,02
CSp-NIII_B4-84-0050;3;C;C;;1;35;50;0,687;5,79;0,0579;0,02
CSp-NIII_B4-84-0050;4;2Bw1;B;w;2;50;100;0;0;0;0
CSp-NIII_B4-84-0050;5;2Bw2;B;w;2;100;135;0;0;0;0
CSp-NIII_B4-84-0050;6;2Bw3;B;w;2;135;150;0;0;0;0
CSp-NIII_B4-84-0051;1;Ap;A;p;1;0;10;4,467;5,6;0,056;0,11
CSp-NIII_B4-84-0051;2;Bw;B;w;1;10;25;1,406;5,79;0,0579;0,02
CSp-NIII_B4-84-0051;3;C;C;;1;25;35;0,981;5,85;0,0585;0,02
CSp-NIII_B4-84-0051;4;2Bw1;B;w;2;35;65;2,008;6,07;0,0607;0,02
CSp-NIII_B4-84-0051;5;2Bw2;B;w;2;65;95;0;0;0;0
CSp-NIII_B4-84-0051;6;2C;C;;2;95;110;0;0;0;0
CSp-NIII_B4-84-0052;1;Ap;A;p;1;0;20;4,467;5,45;0,0545;0,1
CSp-NIII_B4-84-0052;2;Bw1;B;w;1;20;50;1,714;5,74;0,0574;0,02
CSp-NIII_B4-84-0052;3;Bw2;B;w;1;50;70;0;0;0;0
CSp-NIII_B4-84-0052;4;Bw3;B;w;1;70;95;0;0;0;0
CSp-NIII_B4-84-0052;5;C;C;;1;95;130;0;0;0;0
CSp-NIII_B4-84-0052;6;2Ab;A;b;2;130;150;0;0;0;0
CSp-NIII_B4-84-0053;1;Ap;A;p;1;0;15;1,472;5,83;0,0583;0,03
CSp-NIII_B4-84-0053;2;A;A;;1;15;50;4,173;5,5;0,055;0,14
CSp-NIII_B4-84-0053;3;Bw1;B;w;1;50;80;0;0;0;0
CSp-NIII_B4-84-0053;4;Bw2;B;w;1;80;115;0;0;0;0
CSp-NIII_B4-84-0053;5;Bw3;B;w;1;115;130;0;0;0;0
CSp-NIII_B4-84-0054;1;Ap;A;p;1;0;18;4,042;5,94;0,0594;0,07
CSp-NIII_B4-84-0054;2;A;A;;1;18;50;4,5;5,68;0,0568;0,14
CSp-NIII_B4-84-0054;3;Bw1;B;w;1;50;85;0;0;0;0
CSp-NIII_B4-84-0054;4;Bw2;B;w;1;85;115;0;0;0;0
CSp-NIII_B4-84-0054;5;Bw3;B;w;1;115;140;0;0;0;0
CSp-NIII_B4-89-0001;1;Ap;A;p;1;0;6;5,465;6;0,06;0,15
CSp-NIII_B4-89-0001;2;A;A;;1;6;19;2,145;6,11;0,0611;0,06
CSp-NIII_B4-89-0001;3;Bw1;B;w;1;19;45;1,33;6,34;0,0634;0,02
CSp-NIII_B4-89-0001;4;2Ab;A;b;2;45;67;0,879;6,48;0,0648;0,03
CSp-NIII_B4-89-0001;5;2Bw2;B;w;2;67;101;0;0;0;0
CSp-NIII_B4-89-0001;6;2BC;B;C;2;101;145;0;0;0;0
CSp-NIII_B4-89-0002;1;Ap;A;p;1;0;10;5,165;5,57;0,0557;0,14
CSp-NIII_B4-89-0002;2;AB;A;b;1;10;21;2,123;5,83;0,0583;0,05
CSp-NIII_B4-89-0002;3;Bw1;B;w;1;21;43;1,18;5,9;0,059;0,02
CSp-NIII_B4-89-0002;4;Bw2;B;w;1;43;87;1,158;6,2;0,062;0,02
CSp-NIII_B4-89-0002;5;2Bw3;B;w;2;87;145;0;0;0;0
CSp-NIII_B4-89-0003;1;A;A;;1;0;16;4,972;6,39;0,0639;0,23
CSp-NIII_B4-89-0003;2;Bw1;B;w;1;16;67;2,059;6,65;0,0665;0,14
CSp-NIII_B4-89-0003;3;Bw2;B;w;1;67;130;0;0;0;0
CSp-NIII_B4-89-0003;4;Bw3;B;w;1;130;160;0;0;0;0
CSp-NIII_B4-89-0041;1;Ap;A;p;1;0;20;3,682;5,56;0,0556;0,12
CSp-NIII_B4-89-0041;2;A;A;;1;20;42;2,642;5,79;0,0579;0,05
CSp-NIII_B4-89-0041;3;Bw1;B;w;1;42;53;0;0;0;0
CSp-NIII_B4-89-0041;4;Ab;A;b;1;53;100;2,217;6;0,06;0,03
CSp-NIII_B4-89-0041;5;2Bw2;B;w;2;100;155;0;0;0;0
CSp-NIII_B4-89-0043;1;A1;A;;1;0;15;3,944;6,24;0,0624;0,19
CSp-NIII_B4-89-0043;2;A2;A;;1;15;50;1,831;6,06;0,0606;0,06
CSp-NIII_B4-89-0043;3;Ab;A;b;1;50;98;0;0;0;0
CSp-NIII_B4-89-0043;4;2Bw;B;w;2;98;155;0;0;0;0
CSp-NIII_B4-89-0044;1;Ap;A;p;1;0;22;2,466;5,86;0,0586;0,15
CSp-NIII_B4-89-0044;2;A;A;;1;22;55;1,733;6,61;0,0661;0,05
CSp-NIII_B4-89-0044;3;Ab;A;b;1;55;103;0;0;0;0
CSp-NIII_B4-89-0044;4;2Bw;B;w;2;103;160;0;0;0;0
CSp-NIII_B4-89-0045;1;A1;A;;1;0;11;4,271;6,83;0,0683;0,26
CSp-NIII_B4-89-0045;2;A2;A;;1;11;50;1,897;6,73;0,0673;0,11
CSp-NIII_B4-89-0045;3;Ab;A;b;1;50;100;0;0;0;0
CSp-NIII_B4-89-0045;4;2Bw;B;w;2;100;150;0;0;0;0
CSp-NIII_B4-89-0046;1;Ap;A;p;1;0;30;1,831;6,34;0,0634;0,08
