ID_Nac;Hor;Hmor;Mor_Pp;Mor_suf;Mor_ sec;Lim_sup;Lim_inf;CO;pH_H2O;PH;CE_dS/m
CSp-ÑVI_A3-87-0013;5;2BC;B;C;2;120;150;0;0;0;0
CSp-ÑVI_A3-87-0054;1;Oe;O;e;1;0;10;0;0;0;0
CSp-ÑVI_A3-87-0054;2;A;A;;1;10;25;2,355;4,6;0,046;0,04
CSp-ÑVI_A3-87-0054;3;Cr;C;r;1;25;120;0;0;0;0
CSp-ÑVI_A3-90-0001;1;Ap;A;p;1;0;28;0,191;5;0,05;0,06
CSp-ÑVI_A3-90-0001;2;Oi;O;i;1;28;140;11,212;5,3;0,053;0,11
CSp-ÑVI_A3-90-0018;1;Ap;A;p;1;0;35;1,584;6,4;0,064;0,07
CSp-ÑVI_A3-90-0018;2;Bw1;B;w;1;35;65;0,238;6,6;0,066;0,02
CSp-ÑVI_A3-90-0018;3;Bw2;B;w;1;65;145;0;0;0;0
CSp-ÑVI_A3-90-0019;1;Ap;A;p;1;0;40;2,001;6,2;0,062;0,04
CSp-ÑVI_A3-90-0019;2;Bw1;B;w;1;40;95;0,238;6,5;0,065;0,02
CSp-ÑVI_A3-90-0019;3;Bw2;B;w;1;95;150;0;0;0;0
CSp-ÑVI_A3-90-0020;1;A;A;;1;0;50;4,774;5,8;0,058;0,02
CSp-ÑVI_A3-90-0020;2;Bw;B;w;1;50;90;0,412;6,1;0,061;0,01
CSp-ÑVI_A3-90-0020;3;2Cr;C;r;2;90;130;0;0;0;0
CSp-ÑVI_A3-90-0021;1;A1;A;;1;0;30;8,208;5,7;0,057;0,03
CSp-ÑVI_A3-90-0021;2;A2;A;;1;30;65;5,116;6,2;0,062;0,01
CSp-ÑVI_A3-90-0021;3;A3;A;;1;65;80;0;0;0;0
CSp-ÑVI_A3-90-0021;4;2Bw1;B;w;2;80;125;0;0;0;0
CSp-ÑVI_A3-90-0021;5;2Bw2;B;w;2;125;150;0;0;0;0
CSp-ÑVI_A3-90-0022;1;A;A;;1;0;46;4,449;5,3;0,053;0,04
CSp-ÑVI_A3-90-0022;2;2Cr;C;r;2;46;80;0;0;0;0
CSp-ÑVI_A3-90-0025;1;A;A;;1;0;55;4,443;5;0,05;0,04
CSp-ÑVI_A3-90-0025;2;2Bw;B;w;2;55;90;1,937;6;0,06;0,03
CSp-ÑVI_A3-90-0025;3;2Cr;C;r;2;90;115;0;0;0;0
CSp-ÑVI_A3-90-0067;1;A;A;;1;0;40;6,137;4,72;0,0472;0,07
